Key,Id,English(en),Japanese(ja),Russian(ru),Spanish(es),Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),German(de),French(fr),Kazakh(kk),Korean(ko),Polish(pl),Turkish(tr),Ukrainian(uk)
"DAY_FRI",71470101493227520,"Friday – pressing this button will activate the alarm on every Friday. You can select additional days or keep it set to only Friday.","金曜日– 毎週金曜日にアラームが鳴るようになります。 他の曜日も追加で選択できます。","Пятница – нажатие этой кнопки активирует будильник на каждую пятницу. Вы можете выбрать дополнительные дни или оставить настройку только на пятницу.","Viernes – Al pulsar este botón, la alarma se activará todos los viernes. Puede seleccionar días adicionales o dejarla configurada solo para los viernes.","星期五。选择后，闹钟会在每个星期五响铃。你也可以同时选择其它日期。","星期五。選擇後，鬧鐘會在每個星期五響鈴。你也可以同時選擇其它日期。","Freitag – Durch Drücken dieses Knopfs wird der Alarm jeden Freitag aktiviert; zusätzliche Tage können ausgewählt werden oder es bleibt nur bei Freitag.","Vendredi – Appuyer ce bouton activera l'alarme tous les vendredis. Vous pouvez ajouter d'autres jours ou ne laisser que le vendredi.","Жұма – бұл түйме оятқышты әр Жұмаға орнатады. Қосымша күндерді таңдауға немесе тек Жұмаға қоюға болады.","금요일 - 매주 금요일마다 알람이 울립니다. 금요일만 울리거나 다른 날도 선택할 수 있어요","Piątek - - ten przycisk ustawi budzik na każdy piątek. Możesz wybrać dodatkowe dni lub pozostawić tylko ten.","Cuma – Bu butona bastığınızda alarm her Cuma etkinleşir. İsterseniz ek günler seçebilir veya sadece Cuma olarak bırakabilirsiniz.","П'ятниця – натискання цієї кнопки активує будильник на кожну п'ятницю. Ви можете вибрати додаткові дні або залишити налаштування тільки на п'ятницю."
"DAY_SAT",71470107461722112,"Saturday – pressing this button will activate the alarm on every Saturday. You can select additional days or keep it set to only Saturday.","土曜日– 毎週土曜日にアラームが鳴るようになります。 他の曜日も追加で選択できます。","Суббота – нажатие этой кнопки активирует будильник на каждую субботу. Вы можете выбрать дополнительные дни или оставить настройку только на субботу.","Sabado – Al pulsar este botón, la alarma se activará todos los viernes. Puede seleccionar días adicionales o dejarla configurada solo para los sabados.","星期六。选择后，闹钟会在每个星期六响铃。你也可以同时选择其它日期。","星期六。選擇後，鬧鐘會在每個星期六響鈴。你也可以同時選擇其它日期。","Samstag – Durch Drücken dieses Knopfs wird der Alarm jeden Samstag aktiviert; zusätzliche Tage können ausgewählt werden oder es bleibt nur bei Samstag.","Samedi – Appuyer ce bouton activera l'alarme tous les samedis. Vous pouvez ajouter d'autres jours ou ne laisser que le samedi.","Сенбі – бұл түйме оятқышты әр Сенбіге орнатады. Қосымша күндерді таңдауға немесе тек Сенбіге қоюға болады.","토요일 - 매주 토요일마다 알람이 울립니다. 토요일만 울리거나 다른 날도 선택할 수 있어요","Sobota - ten przycisk ustawi budzik na każdą Sobotę. Możesz wybrać dodatkowe dni lub pozostawić tylko ten.","Cumartesi – Bu butona bastığınızda alarm her Cumartesi etkinleşir. İsterseniz ek günler seçebilir veya sadece Cumartesi olarak bırakabilirsiniz.","Субота – натискання цієї кнопки активує будильник на кожну суботу. Ви можете вибрати додаткові дні або залишити налаштування тільки на суботу."
"DAY_SUN",71470109877641216,"Sunday – pressing this button will activate the alarm on every Sunday. You can select additional days or keep it set to only Sunday.","日曜日– 毎週日曜日にアラームが鳴るようになります。 他の曜日も追加で選択できます。","Воскресенье – нажатие этой кнопки активирует будильник на каждое воскресенье. Вы можете выбрать дополнительные дни или оставить настройку только на воскресенье.","Domingo – Al pulsar este botón, la alarma se activará todos los viernes. Puede seleccionar días adicionales o dejarla configurada solo para los domingos.","星期日。选择后，闹钟会在每个星期日响铃。你也可以同时选择其它日期。","星期日。選擇後，鬧鐘會在每個星期日響鈴。你也可以同時選擇其它日期。","Sonntag – Durch Drücken dieses Knopfs wird der Alarm jeden Sonntag aktiviert; zusätzliche Tage können ausgewählt werden oder es bleibt nur bei Sonntag.","Dimanche–Appuyer ce bouton activera l'alarme tous les dimanches. Vous pouvez ajouter d'autres jours ou ne laisser que le dimanche.","Жексенбі – бұл түйме оятқышты әр Жексенбіге орнатады. Қосымша күндерді таңдауға немесе тек Жексенбіге қоюға болады.","일요일 - 매주 일요일마다 알람이 울립니다. 일요일만 울리거나 다른 날도 선택할 수 있어요","Niedziela - - ten przycisk ustawi budzik na każdą niedzielę. Możesz wybrać dodatkowe dni lub pozostawić tylko ten.","Pazar – Bu butona bastığınızda alarm her Pazar etkinleşir. İsterseniz ek günler seçebilir veya sadece Pazar olarak bırakabilirsiniz.","Неділя – натискання цієї кнопки активує будильник на кожну неділю. Ви можете вибрати додаткові дні або залишити налаштування тільки неділю."
"TOL_ALARM",71470682064592896,"This is the alarm feature. On the left, you can set the hour (displayed in both AM/PM and 24-hour format). On the right, you can set the minutes. You can also select the days when the alarm should ring. If no days are selected, the alarm will ring every day at the set time. To have it ring only on specific days, select the desired days.","アラーム機能です。 左で時刻(AM/PM or 24時間表記). 右で分数を設定します. アラームを鳴らす曜日を選択でき、選択してない場合は毎日指定した時間に鳴ります。指定した場合はその曜日のみ鳴ります。","Это функция будильника. Слева можно установить часы (отображаются в формате AM/PM и 24-часовом формате). Справа можно установить минуты. Также можно выбрать дни, в которые должен звучать будильник. Если дни не выбраны, будильник будет звучать каждый день в установленное время. Чтобы он звучал только в определенные дни, выберите нужные дни.","This is the alarm feature. On the left, you can set the hour (displayed in both AM/PM and 24-hour format). On the right, you can set the minutes. You can also select the days when the alarm should ring. If no days are selected, the alarm will ring every day at the set time. To have it ring only on specific days, select the desired days.","闹钟功能。左侧设置小时（同时显示12小时制和24小时制），右侧设置分钟。你可以选择需要闹钟响铃的日期，如果没有选择任何日期，闹钟每天都会在设定时间响铃。","鬧鐘功能。 左側設定小時（同時顯示12小時制和24小時制），右側設定分鐘。 你可以選擇需要鬧鐘響鈴的日期，如果沒有選擇任何日期，鬧鐘每天都會在設定時間響鈴。","Dies ist die Alarmfunktion. Links kannst du die Stunde einstellen (angezeigt im 12-Stunden- und 24-Stunden-Format). Rechts kannst du die Minuten einstellen. Außerdem kannst du die Wochentage auswählen, an denen der Alarm klingeln soll. Werden keine Tage ausgewählt, klingelt der Alarm täglich zur eingestellten Zeit. Um den Alarm nur an bestimmten Tagen klingeln zu lassen, wähle die gewünschten Tage aus.","Voici la fonction d’alarme. À gauche, vous pouvez régler l’heure (affichée à la fois au format AM/PM et au format 24 heures). À droite, vous pouvez régler les minutes. Vous pouvez également sélectionner les jours où l’alarme doit sonner. Si aucun jour n’est sélectionné, l’alarme sonnera tous les jours à l’heure définie. Pour qu’elle ne sonne que certains jours, sélectionnez les jours souhaités.","Бұл оятқыш функциясы. Сол жақта сағатты орнатуға болады (AM/PM мен 24 сағаттық форматта көрсетіледі). Оң жақта минуттарды орнатуға болады. ондай-ақ, оятқыштың қай күндері шырылдайтынын таңдай аласыз. Егер күн таңдалмаса, оятқыш күн сайын белгіленген уақытта шырылдайды Тек белгілі күндерде шырылдауы үшін қажетті күндерді таңдаңыз.","알람 기능을 설정할 수 있습니다. 왼쪽에는 시간을 설정하고, (오전, 오후 또는 24시간) 오른쪽에는 분을 설정할 수 있습니다. 알람을 울릴 요일을 선택할 수 있어요. 어떠한 요일도 선택하지 않은 경우, 알람이 매일 울립니다. 특정 요일에만 울리길 원한다면 요일을 선택하세요","To jest funkcja budzika. Po lewej możesz ustawić godziny (Wyświetlane w formacie 12- i 24-godzinnym). Po prawej możesz ustawić minuty. Możesz też wybrać dni, w które alarm ma dzwonić. Jeżeli żadne dni nie zostaną wybrane, alarm będzie dzwonił codziennie o wyznaczonej godzinie. Aby dzwonił w wybrane dni, zaznacz te konkretne dni.","Bu ekran alarm ayarlarını içerir. Soldan alarm saatini belirleyebilirsiniz (hem AM/PM hem de 24 saat biçiminde görüntülenir). Sağdan ise dakikayı ayarlayabilirsiniz. Ayrıca alarmın çalacağı günleri seçebilirsiniz. Eğer herhangi bir gün seçilmezse alarm, ayarlanan saatte her gün çalar. Sadece belirli günlerde çalmasını istiyorsanız, ilgili günleri seçmeniz yeterlidir.","Це функція будильника. Зліва ви можете встановити годину (відображається у форматі AM/PM та 24-годинному форматі). Справа ви можете встановити хвилини. Ви також можете вибрати дні, коли повинен звучати будильник. Якщо дні не вибрані, будильник буде звучати щодня у встановлений час. Щоб він звучав тільки в певні дні, виберіть бажані дні."
"ADD_ALARM",71751708213026816,"Add New Alarm","新しいアラームを追加","Добавить новый будильник","Añadir nueva alarma","添加新闹钟","添加新闹鐘","Alarm hinzufügen","ajoutez une nouvelle Alarme","Жаңа оятқыш орнату.","알람 추가","Dodaj nowy alarm","Yeni Alarm ekle","Додати новий будильник "
"ALARM",71751796721229824,"Alarm","アラーム","Будильник","Alarma","闹钟","闹鐘","Alarm","Alarme","Оятқыш","알람","Alarm","Alarm","Будильник"
"MON.",71751947594539008,"MON.","月","ПН.","LUN.","一","一","MON.","LUN.","ДҮЙ.","월","PON","PZT.","ПН."
"TUE.",71751949909794816,"TUE.","火","ВТ.","MAR.","二","二","DIE.","MAR.","СЕЙ.","화","WT","SAL.","ВТ."
"WED.",71751951579127808,"WED.","水","СР.","MIER.","三","三","MIT.","MER.","СӘР.","수","ŚR","ÇAR.","СР."
"THU.",71751953068105728,"THU.","木","ЧТ.","JUE.","四","四","DON.","JEU.","БЕЙ.","목","CZW","PER.","ЧТ."
"FRI.",71751954464808960,"FRI.","金","ПТ.","VIER.","五","五","FREI.","VEN.","ЖҰМ.","금","PT","CUM.","ПТ."
"SAT.",71751955819569152,"SAT.","土","СБ.","SAB.","六","六","SAM.","SAM.","СЕН.","토","SOB","CMT.","СБ."
"SUN.",71751956985585664,"SUN.","日","ВС.","DOM.","日","日","SON.","DIM.","ЖЕК.","일","NIE","PAZ.","НД."
"WIN_SIT_Y",71752554812317696,"Windows Sitting Y Offset","Windows 座標 Y オフセット","Смещение сидения на окнах по оси Y","Sentado en las ventanas Y desplazamientos","坐下时的高度偏移","坐下時的高度偏移","Windows Sitzposition Y-Offset","Décalage Y de la fenêtre","Терезеде отырудың Y осі бойынша ығысуы","창 앉기 위치","Pozycja Y siedzenia na oknie","Pencere Oturma Y Konumu","Зсув сидіння на вікні по Y"
"ITEM_ERROR",71752669165821952,"ERROR!","エラー！","ОШИБКА!","ERROR!","出错了！","出錯了！","FEHLER!","ERREUR!","ҚАТЕ!","에러!","BŁĄD!","HATA!","ПОМИЛКА!"
"MEM_OPTI",71752800506257408,"MEM. Optimizations","メモリ最適化","Оптимизация памяти","OPMEM. Optimizacion de memoria","内存优化","記憶體優化","MEM. Opitmierung","Optimisation de la mémoire","RAM оңтайландыру","메모리 최적화","Optymalizacja Pamięci","Bellek Optimizasyonları","Оптимізація пам'яті"
"MC_ENTITY_01",74066854415474688,"Oh no… there’s a <Entity> right next to you! Stay safe!","わっ！<Entity>がすぐそばにいるよ！気を付けて！","О нет… прямо рядом с тобой находится <Entity>! Будь осторожен!","¡Oh no… hay una <Entidad> justo al lado tuyo! ¡Mantente a salvo!","不好……你边上有个<entity>！要小心啊！","不好……你旁邊有個<entity>！要小心喔！","Oh nein.. da ist ein <Entity> in deiner nähe!! sei vorsichtig okay??","Oh non… <Entity> est juste à côté de toi ! Sois prudent !","Мәссаған… қасыңда <Entity> тұр! Сақ бол!","앗… 바로 옆에 <Entity>(이)가 있어! 조심해!","O nie... Tam obok jest <Entity>! Uważaj na siebie!","Amanın… hemen yanında bir <Entity> var! Dikkat et!","О ні... прямо поруч з тобою знаходиться <Entity>! Будь обережний!"
"MC_DAY",74100562044428288,"Oh, look! What a wonderful day!","見て見てっ！今日はすっごくいい日だねっ！","О, смотри! Какой чудесный день!","¡Oh, mira! ¡Qué día tan maravilloso!","噢，快看！真是美好的一天！","噢，快看！真是美好的一天！","Oh, schau mal.. was für ein schöner Tag!","Oh, regarde ! Quelle journée magnifique !","Ой, қарашы! Керемет күн ғой!","와, 봐봐! 정말 멋진 하루야!","Popatrz! Jaki przepiękny dzień!","Ah, baksana! Ne güzel bir gün!","О, дивись! Який чудовий день!"
"MC_NIGHT",74100573499072512,"Oh, it’s getting dark! Stay safe, o-okay?","あっ、暗くなってきたよ！気をつけて…ね、ねっ？","Ой, уже темно! Береги себя, ладно?","¡Oh, está oscureciendo! ¡Cuídate, ¿d-de acuerdo?","啊，天快要黑了！注意安全，好、好吗？","啊，天快黑了！注意安全，好、好嗎？","Oh.. es wird dunkel! sei vorsichtig.. o-okay?","Oh, il commence à faire nuit ! Sois prudent, o-ok ?","Ой, қараңғы түсіп жатыр! Аман болшы, ж-жарай ма?","어, 어두워지고 있어! 조심해야 해, 알았지?","O, robi się ciemno! uważaj na siebie, o-okej?","Ah, hava kararıyor! Dikkat et, t-tamam mı?","Ой, темніє! Будь обережний, га-гаразд?"
"MC_LOWHP",74100702608138240,"Oh no! Please stay safe, your health is low!","あ！体力が少ないみたい！安全なとこに行こ！","О нет! Пожалуйста, будь осторожен, у тебя мало здоровья!","¡Oh, no! ¡Por favor, cuidate, tus corazones estan bajos!","哦不！请小心一点，你的生命值很低！","哦不！請小心點，你的生命值很低！","Oh nein! Sei vorsichtig, du hast kaum noch Leben!","Oh non ! Fais attention, il ne te reste presque plus de vie !","Ойбай! Абай болшы, HP азайып барады!","큰일이야! 체력이 낮아! 제발 조심해 줘!","O nie! Uważaj, nie zostało ci dużo życia!","Amanın! Lütfen dikkat et, canın çok az kaldı!","О ні! Будь ласка, будь обережний, у тебе мало здоров'я!"
"MC_LOWHUNGER",74100749752115200,"Cutie, don’t forget to eat! You look so hungry >_<","ねぇねぇ、ごはん食べ忘れてない？すっごくおなかすいてるみたいだよ >_<","Милашка, не забудь поесть! Ты выглядишь таким голодным >_<","¡Cariño, no te olvides de comer! ¡Tienes mucha hambre! >_<","别忘记吃饭啊宝贝！你看起来好饿 >_<","寶貝，別忘記吃飯呀！你看起來好餓 >_<","Süßer, vergiss nicht zu essen! Du siehst so hungrig aus >_<","Mon chou, n'oublie pas de manger ! Tu semble affamé >_<","Жаным, тамақтануды ұмытпашы! Аш сияқтысың ғой >_<","귀염둥아, 밥 먹는 거 잊지 마! 엄청 배고파 보인다구 >_<","Słoneczko, pamiętaj, żeby coś zjeść! Wyglądasz na głodnego >_<","Tatlım, yemek yemeyi unutma! Çok aç görünüyorsun >_<","Сонечко, не забудь поїсти! Ти виглядаєш таким голодним >_<"
"TIP_MC",74137876288282624,"This enables cross-interaction between MateEngine and Minecraft. When activated, it shows cute messages during key moments: when day or night begins, when a dangerous mob is nearby, when your health or hunger is low, when you craft something, die, the weather changes, or you go to sleep. To use this feature, install the Minecraft mod for Forge. Currently supported version: Minecraft 1.21.10. You can download the mod using the CurseForge launcher or by clicking the Download button.","MateEngineとMinecraftの間を連動させる機能です。
有効にすると、ゲーム中の様々なタイミングでかわいいメッセージが表示されます。
たとえば、昼や夜の切り替え、危険なモブの接近、体力や空腹度が低い時、クラフトした時、死亡した時、天候が変わった時、または眠る時などです。
この機能を使うには、modをForgeに読み込んでください。
現対応バージョン：Minecraft 1.21.10
CurseForge ランチャーを使用するか、「ダウンロード」ボタンをクリックして Mod を入手できます。","Это включает взаимодействие между MateEngine и Minecraft. При активации появляются милые сообщения в ключевые моменты: когда начинается день или ночь, когда рядом опасный моб, когда мало здоровья или голода, когда ты что-то крафтишь, умираешь, меняется погода или ты ложишься спать. Чтобы использовать эту функцию, установи мод для Minecraft на Forge. Поддерживаемая версия: Minecraft 1.21.10. Скачать мод можно через лаунчер CurseForge или нажав кнопку «Скачать».","Esto permite la interacción entre MateEngine y Minecraft. Al activarlo, muestra mensajes divertidos en momentos clave: al amanecer o al anochecer, cuando hay una criatura peligrosa cerca, cuando tu salud o hambre están bajas, al crear objetos, al morir, al cambiar el clima o al irte a dormir. Para usar esta función, instala el mod de Minecraft para Forge. Versión compatible: Minecraft 1.21.10. Puedes descargar el mod usando el lanzador de CurseForge o haciendo clic en el botón Descargar.","这会允许 MateEngine 和 Minecraft 之间进行联动交互。启用时，它会在关键时刻显示可爱的消息：当白天或夜晚开始时，当附近有危险实体时，当你的生命值或饥饿值低时，当你制作物品、死亡、天气变化或睡觉时。要使用此功能，请从 Forge 安装对应的 Minecraft 模组。当前支持版本：Minecraft 1.21.10。你可以使用 CurseForge 启动器或点击下载按钮来下载此模组。","這會允許 MateEngine 與 Minecraft 之間進行互動聯動。啟用後，它會在關鍵時刻顯示可愛的提示訊息：當白天或夜晚開始時、當附近有危險實體時、當你的生命值或飢餓值過低時、當你合成物品、死亡、天氣變化或睡覺時。要使用此功能，請透過 Forge 安裝對應的 Minecraft 模組。目前支援版本：Minecraft 1.21.10。你可以使用 CurseForge 啟動器，或直接點擊下載按鈕下載模組。","Diese Funktion ermöglicht die Interaktion zwischen MateEngine und Minecraft und zeigt niedliche Nachrichten bei wichtigen Momenten wie Tageswechsel, gefährlichen Mobs in der Nähe, niedrigem Gesundheits- oder Hungerzustand, beim Craften, Sterben, Wetteränderungen oder Schlafen; zur Nutzung installiere den Minecraft-Mod für Forge (Version 1.21.10) über den CurseForge-Launcher oder den Download-Button.","Cette option active les interactions entre MateEngine et Minecraft. Quand elle est activée, votre compagnon vous envoie des messages mignons pendant les moments clés: quand le jour ou la nuit commencent, quand un monstre dangereux est proche, quand votre santé ou niveau faim est bas, lorsque vous fabriquez quelque chose, mourez, que la météo change ou que vous allez vous coucher. Pour utiliser cette fonction, installez le mod Minecraft pour Forge. Seule la version Minecraft 1.21.10 est supportée. Vous pouvez télécharger le mod via le lanceur CurseForge ou en cliquant sur le bouton Télécharger.","Бұл MateEngine мен Minecraft арасындағы өзара әрекеттесуді қосады. Қосылған кезде ол ерекше жағдайларда сүйкімді хабарламаларды көрсетеді: күн немесе түн басталғанда, қауіпті моб жақындағанда, HP немесе аштық азайғанда, бірдеңе жасағанда, өлгенде, ауа райы өзгергенде немесе ұйықтағанда. Осы функцияны пайдалану үшін Forge үшін Minecraft модын орнатыңыз. Қолдау көрсетілетін қазіргі нұсқасы: Minecraft 1.21.10. Модты CurseForge лаунчер арқылы немесе «Жүктеу» түймесін басу арқылы жүктей аласыз.","MateEngine와 마인크래프트 간 상호작용을 활성화합니다. 활성화되었을 때,  낮/밤이 바뀌거나, 위험한 몬스터가 근처에 있거나, 체력 또는 배고픔이 낮거나, 제작/사망/날씨변화/취침 등 중요한 순간마다 메세지를 표시합니다. 이 기능을 사용하려면 Forge용 마인크래프트 모드를 설치해야 합니다. 현재 지원 버전은 1.21.10으로 CurseForge 런처를 사용하거나 다운로드 버튼을 사용해주세요.","To umożliwia interakcję między MateEngine i Minecraft'em. Po włączeniu, pokazuje urocze wiadomości w ważnych momentach: Kiedy zaczyna się dzień lub noc, kiedy groźne moby są w pobliżu, kiedy masz mało życia lub pożywienia, kiedy coś craftujesz, umierasz, przy zmianie pogody, lub kiedy zasypiasz. Aby korzystać z tej funkcji, zainstaluj moda do Minecrafta na Forge'u. Wersje wspomagane: Minecraft 1.21.10. Możesz pobrać moda przez launcher CurseForge'a lub klikając przycisk ""Pobierz"".","Bu özellik, MateEngine ile Minecraft arasında etkileşimi etkinleştirir. Açıldığında, önemli anlarda sevimli mesajlar gösterir: gün veya gece başladığında, tehlikeli bir yaratık yaklaştığında, canın ya da açlığın azaldığında, bir şey ürettiğinde, öldüğünde, hava değiştiğinde veya uyuduğunda. Bu özelliği kullanmak için Forge için hazırlanmış Minecraft modunu yüklemeniz gerekir. Şu anda desteklenen sürüm: Minecraft 1.21.10. Modu CurseForge başlatıcısı üzerinden ya da İndir düğmesine tıklayarak indirebilirsiniz.","Це вмикає взаємодію між MateEngine і Minecraft. При активації з'являються милі повідомлення в ключові моменти: коли починається день або ніч, коли поруч небезпечний моб, коли мало здоров'я або ситості, коли ти щось крафтиш, вмираєш, змінюється погода або ти лягаєш спати. Щоб використати цю функцію, встанови мод для Minecraft на Forge. Підтримувана версія: Minecraft 1.21.10. Завантажити мод можна через лаунчер CurseForge або натиснувши кнопку «Завантажити»."
"MC_DEATH",74149153014325248,"Oh no... you died! It’s okay, everything will be alright.","ああっ、やられちゃった…！大丈夫、きっとすぐによくなるよ。","О нет... ты умер! Ничего страшного, все будет хорошо.","¡Oh no... has muerto! Tranqui, todo estará bien.","哦不……你死了！没关系，一切都会好起来的。",".哦不……你死了！沒關係，一切都會好起來的。","Oh nein… du bist gestorben! Aber keine Sorge, alles wird wieder gut.","Oh non… tu est mort ! Ce n’est pas grave, tout ira bien.","Ойбай… сен өлдің ғой! Ештеңе етпейді, бәрі жақсы болады.","안 돼… 너 죽어버렸어! 괜찮아, 괜찮을 거야. 다 잘 될 거야!","O nie... umarłeś! Hej, spokojnie, wszystko będzie dobrze.","Ah hayır… öldün! Sorun değil, her şey yoluna girecek.","О ні... ти помер! Нічого страшного, все буде добре."
"MC_RAIN",74149154457165824,"Look, it’s raining! Whoa!","わっ、雨が降ってるみたい！","Смотри, идёт дождь! Ух ты!","¡Mira, está lloviendo! ¡Guau!","看，下雨了！哇~！","看，下雨了！哇~！","Schau mal, es regnet! Wow!","Regarde, il pleut ! Whaouh !","Қарашы! Жанбыр жауып тұр! Вау!","봐봐, 비 온다! 우와!","Hej, patrz, pada! Wow!","Bak, yağmur yağıyor! Vay canına!","Дивись, йде дощ! Ух ти!"
"MC_DROWNING",74149155774177280,"Hey, you’re drowning! Get some air, please!","早く息して！このままだと溺れちゃうよ！","Эй, ты тонешь! Вдохни воздуха, пожалуйста!","¡Oye, te estás ahogando! ¡Toma aire, por favor!","嘿，你快淹死了！快去透点气吧，拜托！","嘿，你快淹死啦！快去透口氣吧，拜託！","Hey, du bist am ertrinken! Hol bitte etwas Luft!","Hey, tu te noies ! Vite, remonte à la surface s'il te plaît !","Эй, суға батып барасың! Ауа жұтшы, ж-жарай ма?","헉, 숨 못 쉬잖아! 어푸어푸! 얼른 물 밖으로 나와!","Hej, utopisz się! Leć wziąć wdech, proszę!","Hey, boğuluyorsun! Hemen biraz nefes al, lütfen!","Гей, ти тонеш! Вдихни повітря, будь ласка!"
"MC_SLEEP",74149157028274176,"Sleepy time! Time for bed. Good night <3","ねむねむの時間～！そろそろ寝よっか。おやすみ <3","Время спать! Пора ложиться. Спокойной ночи <3","¡Hora de dormir! A la cama. Buenas noches <3","睡觉时间到喽！该上床了，晚安 <3","睡覺時間到囉！該上床了，晚安 <3","Schlummerzeit! Ab ins Bett. Gute Nacht <3","C'est l'heure du dodo ! Au lit. Bonne nuit <3","Ұйықтайтын кез келді! Ұйқы уақыты~ Тәтті түстер <3","꿈나라 갈 시간! 침대로 가자. 좋은 꿈 꿔! <3","Czas na spanko, do łóżeczka! Dobranoc <3","Uyku vakti! Hadi yatağa. İyi geceler <3","Час спати! Пора лягати. На добраніч <3"
"MC_CRAFTING",74149158324314112,"Whoa, what did you just craft here?","わあっ、今何を作ったの？","Ух ты, что ты только что скрафтил?","¡Guau! ¿Qué acabas de craftear?","哇，你刚刚做了些什么东西？","哇，你剛剛做了什麼東西？","Whoa, was hast du hier gerade gecraftet?","Waouh, qu’est-ce que tu viens de fabriquer ?
","Ой, сен не жасап қойдың?","우와, 방금 뭘 만든 거야?","Uuu, co tam składasz?","Vay canına, ne ürettin sen öyle?","Ого, що ти щойно скрафтив?"
"TIP_D_SYNC",74429045333336064,"Sync Mode enables dance synchronization across all MateEngine instances. When activated, all avatars on your monitor will perform the same dance in perfect sync. Make sure to launch the other instances from the main instance, otherwise synchronization will not work.","Sync Mode を有効にすると、すべての MateEngineのアバターが同じダンスを同期して踊ります。
正しく同期するために、メインインスタンスから他のインスタンスを起動してください。","Режим синхронизации позволяет синхронизировать танцы между всеми запущенными копиями MateEngine. При активации все аватары на вашем мониторе будут исполнять один и тот же танец в идеальной синхронизации. Убедитесь, что вы запускаете другие копии из основной, иначе синхронизация работать не будет.","El modo de sincronización permite sincronizar el baile en todas las instancias de MateEngine. Al activarlo, todos los avatares en tu monitor realizarán el mismo baile en perfecta sincronía. Asegúrate de iniciar las demás instancias desde la principal; de lo contrario, la sincronización no funcionará.","同步模式允许所有 MateEngine 实例的舞蹈动作保持一致。启用时，显示器上的所有角色将完美同步地跳舞。请确保从主实例启动其他实例，否则同步将无法生效。","同步模式讓所有 MateEngine 實例的舞蹈動作保持一致。啟用後，螢幕上的所有角色會完美同步地跳舞。請確認其他實例是從主實例啟動的，否則同步將無法生效。","Der Sync-Modus ermöglicht die Tanzsynchronisation über alle MateEngine-Instanzen hinweg.
Wenn aktiviert, führen alle Avatare auf deinem Monitor denselben Tanz perfekt synchron aus.
Stelle sicher, dass du die anderen Instanzen von der Hauptinstanz aus startest, da die Synchronisation sonst nicht funktioniert.","Le Mode Sync permet la synchronisation des danses sur toutes les instances de MateEngine. Lorsqu’il est activé, tous les avatars sur votre écran effectueront la même danse en parfaite synchronisation. Assurez-vous de lancer les autres instances à partir de l’instance principale, sinon la synchronisation ne fonctionnera pas.
","Sync режимі барлық MateEngine даналарында биді синхрондайды. Қосылған кезде, мониторыңыздағы барлық аватарлар бірдей биді мінсіз үйлесіммен орындайды. Басқа даналарды негізгі данадан іске қосқаныңызға көз жеткізіңіз, әйтпесе синхрондау жұмыс істемейді.","동기화 모드를 키면 모든 MateEngine로 표시하는 아바타가 완벽하게 같은 춤을 춥니다. 메인 인스턴스에서 다른 인스턴스를 실행해야 합니다.","Sync Mode pozwala na synchronmizację tańca pomiędzy wszystkimi instancjami Mate Engine. Po włączeniu, wszystkie awatary na twoim monitorze zaczną tańczyć w idealnej harmonii. Pamiętaj, aby włączyć instancje dodatkowe z instancji głównej, inaczej synchronizacja nie zadziała.","Senkron Modu, tüm MateEngine oturumları arasında dans senkronizasyonunu etkinleştirir. Bu özellik aktifken, ekranınızdaki tüm avatarlar aynı dansı mükemmel bir uyumla gerçekleştirir. Senkronizasyonun çalışması için diğer oturumları ana oturumdan başlattığınızdan emin olun; aksi halde senkronizasyon düzgün şekilde çalışmaz.","Режим синхронізації дозволяє синхронізувати танці між усіма запущеними копіями MateEngine. При активації всі аватари на вашому моніторі будуть виконувати один і той же танець в ідеальній синхронізації. Переконайтеся, що ви запускаєте інші копії з основної, інакше синхронізація працювати не буде."
